course_id,course_name,lab,credits,timings,degree_name,degree_level
1.0,Re-engineered content-based database,1,3,morning,Physics,Undergraduate
2.0,Synergistic methodical moderator,1,3,evening,Social Sciences,Graduate
3.0,Reactive zero administration artificial intelligence,0,3,morning,Economics,Undergraduate
4.0,Polarized uniform secured line,0,3,morning,BioChem,Undergraduate
5.0,Mandatory clear-thinking Local Area Network,0,3,evening,Social Sciences,Graduate
6.0,Managed hybrid pricing structure,1,3,evening,Computer Science,Graduate
7.0,Expanded actuating superstructure,0,3,morning,Accounting and Finance,Undergraduate
8.0,Devolved exuding software,1,3,morning,Chemistry,Undergraduate
9.0,Sharable value-added strategy,0,3,morning,Pharmacy,Undergraduate
10.0,Expanded well-modulated knowledge user,1,3,morning,Business Administration,Undergraduate
11.0,Robust 3rdgeneration matrices,0,3,morning,Chemistry,Undergraduate
12.0,Programmable heuristic parallelism,0,3,morning,BioChem,Undergraduate
13.0,Progressive scalable structure,0,3,morning,Physics,Undergraduate
14.0,Upgradable national support,1,3,morning,Economics,Undergraduate
15.0,Synergistic directional Graphical User Interface,0,3,morning,Pharmacy,Undergraduate
16.0,Digitized 24hour matrices,0,3,morning,BioChem,Undergraduate
17.0,Extended reciprocal approach,0,3,evening,Electrical Engineering,Graduate
18.0,Distributed tertiary extranet,1,3,morning,Accounting and Finance,Undergraduate
19.0,Proactive maximized moratorium,1,3,evening,Engineering,Graduate
20.0,Open-architected high-level core,0,3,evening,Computer Science,Graduate
21.0,Synchronized logistical superstructure,0,3,evening,Computer Science,Graduate
22.0,User-centric intangible strategy,0,3,morning,Physics,Undergraduate
23.0,User-friendly empowering project,1,3,morning,Physics,Undergraduate
24.0,Implemented secondary challenge,0,3,morning,Economics,Undergraduate
25.0,Optional discrete application,0,3,morning,BioChem,Undergraduate
26.0,Exclusive well-modulated instruction set,1,3,morning,Business Administration,Undergraduate
27.0,Realigned responsive project,0,3,morning,Chemistry,Undergraduate
28.0,Configurable content-based time-frame,0,3,morning,BioChem,Undergraduate
29.0,Horizontal tertiary project,0,3,evening,Engineering,Graduate
30.0,Total actuating portal,1,3,morning,Chemistry,Undergraduate
