dateid,year,semester
1,2000,Spring
2,2000,Fall
3,2001,Spring
4,2001,Fall
5,2002,Spring
6,2002,Fall
7,2003,Spring
8,2003,Fall
9,2004,Spring
10,2004,Fall
11,2005,Spring
12,2005,Fall
13,2006,Spring
14,2006,Fall
15,2007,Spring
16,2007,Fall
17,2008,Spring
18,2008,Fall
19,2009,Spring
20,2009,Fall
21,2010,Spring
22,2010,Fall
23,2011,Spring
24,2011,Fall
25,2012,Spring
26,2012,Fall
27,2013,Spring
28,2013,Fall
29,2014,Spring
30,2014,Fall
31,2015,Spring
32,2015,Fall
33,2016,Spring
34,2016,Fall
35,2017,Spring
36,2017,Fall
37,2018,Spring
38,2018,Fall
39,2019,Spring
40,2019,Fall
41,2020,Spring
42,2020,Fall
43,2021,Spring
44,2021,Fall
45,2022,Spring
46,2022,Fall
47,2023,Spring
48,2023,Fall
49,2024,Spring
